Date,GJupiter,GLuna,GMars,GMercury,GNeptune,GSaturn,GUranus,GVenus
08/01/1980,161.9113402,5.770380496,192.5983884,109.7643541,260.421985,174.3306043,231.77322,86.16850693
08/02/1980,162.1091927,20.18954974,193.2001785,110.7355453,260.4067749,174.4305177,231.7750271,86.86594757
08/03/1980,162.3079143,34.47483047,193.8038481,111.8018123,260.3920041,174.5313229,231.777693,87.57990079
08/04/1980,162.5074774,48.58291602,194.4093819,112.9609468,260.3776804,174.633024,231.7812245,88.30972601
08/05/1980,162.7078784,62.48504373,195.0167899,114.2103206,260.3637953,174.7355998,231.7856306,89.05482738
08/06/1980,162.9090953,76.16397277,195.6260623,115.5469031,260.3503581,174.8390402,231.7908956,89.81460712
08/07/1980,163.1111005,89.61066477,196.2371867,116.9672237,260.3373865,174.9433149,231.7970353,90.5885127
08/08/1980,163.3138683,102.821628,196.8501481,118.4673104,260.3248821,175.048428,231.8040522,91.3759893
08/09/1980,163.5173764,115.797591,197.4649508,120.0426949,260.3128534,175.1543388,231.8119253,92.17652732
08/10/1980,163.7216158,128.5434132,198.0815606,121.688416,260.3012903,175.2610395,231.8206821,92.9896434
08/11/1980,163.9265458,141.0689793,198.6999843,123.3990173,260.290213,175.3685066,231.8302976,93.81486117
08/12/1980,164.1321758,153.3906641,199.3201746,125.1686365,260.2796198,175.4767322,231.8407876,94.65175855
08/13/1980,164.3384392,165.5328552,199.9421439,126.9910069,260.2695216,175.5856888,231.8521455,95.4999018
08/14/1980,164.5453488,177.5290817,200.5658471,128.8596562,260.2599176,175.6953633,231.8643685,96.35891055
08/15/1980,164.7528642,189.4226752,201.1912816,130.7679484,260.2508079,175.8057334,231.8774475,97.22841125
08/16/1980,164.9609463,201.2666498,201.8184211,132.7092257,260.2422109,175.9167809,231.8913916,98.10804685
08/17/1980,165.1695988,213.1228382,202.4472466,134.6769779,260.2341081,176.0284978,231.9062008,98.99748367
08/18/1980,165.3787954,225.060325,203.0777468,136.6649206,260.2265273,176.1408514,231.921854,99.89640585
08/19/1980,165.5885126,237.1528777,203.7098863,138.6671647,260.2194507,176.2538298,231.9383563,100.8045187
08/20/1980,165.7987202,249.4753815,204.3436705,140.6782118,260.2128962,176.3674096,231.9557117,101.7215365
08/21/1980,166.0094219,262.0989035,204.9790664,142.6930954,260.2068544,176.4815866,231.9739043,102.6471859
08/22/1980,166.2205693,275.0842657,205.6160558,144.7073696,260.2013346,176.5963387,231.9929316,103.5812275
08/23/1980,166.4321478,288.4741015,206.2546372,146.7171565,260.1963461,176.7116343,232.0127933,104.5234076
08/24/1980,166.6441532,302.2842732,206.8947946,148.7190881,260.1918711,176.8274734,232.0334896,105.4735143
08/25/1980,166.8565502,316.4959692,207.5365066,150.7103393,260.1879273,176.9438337,232.055011,106.4313198
08/26/1980,167.0693424,331.0510997,208.179769,152.6885294,260.184514,177.0606929,232.0773483,107.3966325
08/27/1980,167.2824996,345.8538039,208.8245919,154.6517398,260.1816234,177.1780419,232.1005015,108.3692476
08/28/1980,167.4960201,0.779830199,209.4709602,156.598418,260.1792741,177.2958633,232.1244561,109.34898
08/29/1980,167.7098776,15.69289183,210.1188739,158.5273657,260.1774553,177.414147,232.1492264,110.3356139
08/30/1980,167.9240457,30.46437186,210.7683529,160.4376565,260.1761677,177.5328677,232.1748005,111.3289756
08/31/1980,168.1385096,44.99048856,211.4193887,162.3286383,260.1754213,177.6520242,232.2011691,112.3288732
09/01/1980,168.3532706,59.20236926,212.0719856,164.1998262,260.1752154,177.7715941,232.2283323,113.3350895
09/02/1980,168.5683047,73.0677084,212.7261551,166.0509494,260.1755584,177.8915604,232.2562964,114.3474645
09/03/1980,168.7835815,86.58549259,213.381886,167.881849,260.1764334,178.0119138,232.2850365,115.3657887
09/04/1980,168.9990955,99.77713227,214.0391904,169.6924978,260.1778581,178.1326267,232.3145707,116.3898968
09/05/1980,169.2148071,112.6770808,214.698049,171.4829488,260.1798325,178.2536912,232.3448664,117.4195956
09/06/1980,169.4307108,125.3249304,215.3584618,173.2533174,260.1823566,178.3750797,232.3759469,118.4547378
09/07/1980,169.6467708,137.7600072,216.020426,175.0037897,260.1854303,178.4967882,232.4077885,119.4951485
09/08/1980,169.8629738,150.0183898,216.6839236,176.7345875,260.1890445,178.6187799,232.4403847,120.5406779
